"GEO_ID","NAME","NAICS","NAICS_LABEL","EAGE","EAGE_LABEL","YEAR","FIRM","ESTAB","EMP","DENOM","ESTABS_ENTRY","ESTABS_ENTRY_RATE","ESTABS_EXIT","ESTABS_EXIT_RATE","JOB_CREATION","JOB_CREATION_BIRTHS","JOB_CREATION_CONTINUERS","JOB_CREATION_RATE_BIRTHS","JOB_CREATION_RATE","JOB_DESTRUCTION","JOB_DESTRUCTION_DEATHS","JOB_DESTRUCTION_CONTINUERS","JOB_DESTRUCTION_RATE_DEATHS","JOB_DESTRUCTION_RATE","NET_JOB_CREATION","NET_JOB_CREATION_RATE","REALLOCATION_RATE","FIRMDEATH_FIRMS","FIRMDEATH_ESTABS","FIRMDEATH_EMP"
"id","Geographic Area Name","2012 NAICS Code","Meaning of NAICS code","Establishment age code","Meaning of Establishment age code","Year","Number of firms","Number of establishments","Number of employees","(DHS) denominator","Number of establishments born during the last 12 months","Rate of establishments born during the last 12 months","Number of establishments exited during the last 12 months","Rate of establishments exited during the last 12 months","Number of jobs created from expanding and opening establishments during the last 12 months","Number of jobs created from opening establishments during the last 12 months","Number of jobs created from expanding establishments during the last 12 months","Rate of jobs created from opening establishments during the last 12 months","Rate of jobs created from expanding and opening establishments during the last 12 months","Number of jobs lost from contracting and closing establishments during the last 12 months","Number of jobs lost from closing establishments during the last 12 months","Number of jobs lost from contracting establishments during the last 12 months","Rate of jobs lost from closing establishments during the last 12 months","Rate of jobs lost from contracting and closing establishments during the last 12 months","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of reallocation during the last 12 months","Number of firms that exited during the last 12 months","Number of establishments associated with firm deaths during the last 12 months","Number of employees associated with firm deaths during the last 12 months"
"0100000US","United States","31-33","Manufacturing","001","Total","1979","255685","302989","18901965","18524057","31115","10.229","33510","11.016","2590741","707357","1883384","3.819","13.986","1829752","741721","1088031","4.004","9.878","760989","4.108","19.755","19503","19689","223738"
"0100000US","United States","31-33","Manufacturing","010","0 years","1979","25378","26762","514434","257217","26762","200.000","0","0.000","514434","514434","0","200.000","200.000","0","0","0","0.000","0.000","514434","200.000","0.000","0","0","0"
"0100000US","United States","31-33","Manufacturing","020","1 year","1979","21941","23082","560436","545532","0","0.000","7932","29.326","154397","0","154397","0.000","28.302","124509","75012","49497","13.750","22.823","29888","5.479","45.647","5020","5035","38234"
"0100000US","United States","31-33","Manufacturing","030","2 years","1979","20309","22112","723763","716232","744","3.092","4640","19.285","140974","18577","122397","2.594","19.683","125903","68028","57875","9.498","17.579","15071","2.104","35.157","2911","2926","27224"
"0100000US","United States","31-33","Manufacturing","040","3 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","050","4 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","060","5 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","070","6-10 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","080","11-15 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","090","16-20 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","100","21-25 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","110","26+ years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","150","Left Censored","1979","193856","231033","17103332","17005076","3609","1.506","20938","8.735","1781099","174346","1606753","1.025","10.474","1579599","598681","980918","3.521","9.289","201500","1.185","18.578","11602","11728","158280"