Date,Temp
1/1/20,27.3
2/1/20,29
3/1/20,29.4
4/1/20,36.4
5/1/20,26.6
6/1/20,27.9
7/1/20,28.8
8/1/20,27.7
9/1/20,26.5
10/1/20,31.3
11/1/20,23.1
12/1/20,22.1
13/1/20,29.1
14/1/20,28.9
15/1/20,28.3
16/1/20,28.1
17/1/20,22.2
18/1/20,22.8
19/1/20,26.6
20/1/20,29.1
21/1/20,31.9
22/1/20,30.7
23/1/20,41.2
24/1/20,28.5
25/1/20,29.1
26/1/20,32.5
27/1/20,30.2
28/1/20,31.3
29/1/20,29
30/1/20,30.1
31/1/20,32.4
1/2/20,36.4
2/2/20,31.1
3/2/20,31.7
4/2/20,23.7
5/2/20,27.4
6/2/20,24.4
7/2/20,22.6
8/2/20,23.8
9/2/20,21.9
10/2/20,27.8
11/2/20,30.8
12/2/20,26.4
13/2/20,26.3
14/2/20,27.8
15/2/20,28.5
16/2/20,27.7
17/2/20,26.1
18/2/20,30
19/2/20,29.1
20/2/20,25.5
21/2/20,26.6
22/2/20,24.3
23/2/20,25.9
24/2/20,28.4
25/2/20,29.7
26/2/20,32.2
27/2/20,27.2
28/2/20,25.7
29/2/20,27.9
1/3/20,29.7
2/3/20,38
3/3/20,21.9
4/3/20,25.6
5/3/20,22.8
6/3/20,27.6
7/3/20,24.9
8/3/20,23.2
9/3/20,22.2
10/3/20,23.6
11/3/20,26
12/3/20,26.6
13/3/20,26.5
14/3/20,17.9
15/3/20,20.3
16/3/20,22.5
17/3/20,23.9
18/3/20,25.8
19/3/20,32
20/3/20,34.7
21/3/20,27.6
22/3/20,29.6
23/3/20,23
24/3/20,22.4
25/3/20,25.6
26/3/20,22.4
27/3/20,23.9
28/3/20,26.2
29/3/20,26
30/3/20,24.8
31/3/20,27
1/4/20,24.8
2/4/20,25.4
3/4/20,25.8
4/4/20,25.6
5/4/20,24.9
6/4/20,24.9
7/4/20,21.7
8/4/20,20.4
9/4/20,22.2
10/4/20,23.3
11/4/20,26.5
12/4/20,22.6
13/4/20,22.6
14/4/20,24.5
15/4/20,25.4
16/4/20,25.7
17/4/20,27.9
18/4/20,24.9
19/4/20,23.9
20/4/20,19.4
21/4/20,25.4
22/4/20,26.3
23/4/20,26.2
24/4/20,28.4
25/4/20,25.8
26/4/20,27.8
27/4/20,21.6
28/4/20,24.4
29/4/20,25.1
30/4/20,21.1
1/5/20,16.7
2/5/20,18.3
3/5/20,19.6
4/5/20,19.4
5/5/20,20.9
6/5/20,24.1
7/5/20,24.8
8/5/20,28
9/5/20,25.8
10/5/20,19.3
11/5/20,19.4
12/5/20,21.9
13/5/20,19.6
14/5/20,18.6
15/5/20,15.6
16/5/20,19.6
17/5/20,22.4
18/5/20,21
19/5/20,21.4
20/5/20,24.5
21/5/20,18.8
22/5/20,15.9
23/5/20,17.7
24/5/20,17.2
25/5/20,15.5
26/5/20,20
27/5/20,20.5
28/5/20,22.7
29/5/20,15.7
30/5/20,20.6
31/5/20,22.3
1/6/20,22.6
2/6/20,14.9
3/6/20,18.7
4/6/20,17
5/6/20,19.4
6/6/20,19.7
7/6/20,17.2
8/6/20,17.3
9/6/20,19.8
10/6/20,16.1
11/6/20,17.95
12/6/20,16.2
13/6/20,19.8
14/6/20,21.8
15/6/20,20.6
16/6/20,21.5
17/6/20,17.4
18/6/20,19.9
19/6/20,20.1
20/6/20,21.8
21/6/20,19.3
22/6/20,17.8
23/6/20,17.4
24/6/20,18.8
25/6/20,19.7
26/6/20,19.3
27/6/20,16.6
28/6/20,16.2
29/6/20,16.8
30/6/20,18.8
1/7/20,22.8
2/7/20,22.9
3/7/20,18.7
4/7/20,17.1
5/7/20,19.1
6/7/20,19.3
7/7/20,16.9
8/7/20,17.6
9/7/20,17.9
10/7/20,17.7
11/7/20,15.9
12/7/20,18.8
13/7/20,18.4
14/7/20,15.9
15/7/20,15
16/7/20,15.3
17/7/20,15.1
18/7/20,18.1
19/7/20,20.7
20/7/20,19.4
21/7/20,17.4
22/7/20,20
23/7/20,20.1
24/7/20,19
25/7/20,18
26/7/20,16.5
27/7/20,16.3
28/7/20,18.4
29/7/20,19.3
30/7/20,18.3
31/7/20,18.8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,