Obj_Type_Code,Obj_Type_Name,Obj_Cat_Code,Expenditure_Category,Obj_Class_Code,Obj_Class_Name,Obj_Code,Expenditure_Line_Item,ExpenditureLineItemKey
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1101,REGULAR SALARIES & WAGES,1000_1100_1110_1101
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1102,SHIFT PAY,1000_1100_1110_1102
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1103,SPECIAL EVENT PAY,1000_1100_1110_1103
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1104,HOLIDAY PREMIUM,1000_1100_1110_1104
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1106,MERIT ALLOCATIONS,1000_1100_1110_1106
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1107,2 WEEK ACCRUAL SALARIES AND BEN,1000_1100_1110_1107
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1109,ESTIMATED WRITE-OFFS/PAYROLL LAG,1000_1100_1110_1109
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1116,Military Differential/Reg Salary,1000_1100_1110_1116
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1120,EMERGENCY PREMIUM,1000_1100_1110_1120
1000,Salary / Benefits,1100,Salary,1130,Overtime Salaries,1110,Overtime Salaries,1000_1100_1130_1110
1000,Salary / Benefits,1100,Salary,1130,Overtime Salaries,1119,MERIT SPECIAL PAY ALLOCATION,1000_1100_1130_1119
1000,Salary / Benefits,1100,Salary,1140,Longevity Salaries & Wages,1111,LONGEVITY SALARIES & WAGES,1000_1100_1140_1111
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1112,IN-HOUSE TEMP PAYROLL,1000_1100_1150_1112
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1113,SALARIES & WAGES-TEMPORARY/PART-TIME,1000_1100_1150_1113
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1114,TEMPORARY POSITIONS,1000_1100_1150_1114
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1118,Contractual Payees - IRS,1000_1100_1150_1118
1000,Salary / Benefits,1100,Salary,1160,Vacancy Rate,1115,VACANCY RATE,1000_1100_1160_1115
1000,Salary / Benefits,1200,Fringe Benefits,1210,FICA,1201,FICA,1000_1200_1210_1201
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1203,HEALTH - UNITED HEALTHCARE,1000_1200_1220_1203
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1223,Health Insurance,1000_1200_1220_1223
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1224,Contra-Employer Share-Health,1000_1200_1220_1224
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1226,Contra-Employee Share-Health,1000_1200_1220_1226
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1205,401(K),1000_1200_1230_1205
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1206,DEFERRED COMPENSATION,1000_1200_1230_1206
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1207,RETIREMENT-LEO,1000_1200_1230_1207
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1208,RETIREMENT-LGERS,1000_1200_1230_1208
1000,Salary / Benefits,1200,Fringe Benefits,1240,Dental,1209,DENTAL INSURANCE,1000_1200_1240_1209
1000,Salary / Benefits,1200,Fringe Benefits,1240,Dental,1225,Contra-Employer Share-Dental,1000_1200_1240_1225
1000,Salary / Benefits,1200,Fringe Benefits,1240,Dental,1227,Contra-Employee Share-Dental,1000_1200_1240_1227
1000,Salary / Benefits,1200,Fringe Benefits,1250,Disability,1210,DISABILITY,1000_1200_1250_1210
1000,Salary / Benefits,1200,Fringe Benefits,1260,Law Enforcement Separation Allowance,1211,SEPARATION ALLOWANCE,1000_1200_1260_1211
1000,Salary / Benefits,1200,Fringe Benefits,1270,Life Insurance,1212,County-Paid Life Insurance,1000_1200_1270_1212
1000,Salary / Benefits,1200,Fringe Benefits,1270,Life Insurance,1213,Excess Group Term life,1000_1200_1270_1213
1000,Salary / Benefits,1200,Fringe Benefits,1280,Unemployment,1214,UNEMPLOYMENT COMPENSATION,1000_1200_1280_1214
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1216,EMPLOYEE PARKING,1000_1200_1290_1216
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1217,FRINGE BENEFIT ALLOCATION,1000_1200_1290_1217
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1218,OTHER FRINGE BENEFITS,1000_1200_1290_1218
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1219,TAXABLE FRINGE BENEFITS,1000_1200_1290_1219
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1231,BYOD - Cell phone reimb,1000_1200_1290_1231
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1232,Sheriff Pension Fund,1000_1200_1290_1232
1000,Salary / Benefits,1300,Workers' Compensation,1310,Workers' Compensation,1301,WC EXCESS LIABILITY PREMIUM,1000_1300_1310_1301
2000,Contractual Services,2100,Contractual Services,2110,Appraisal,2101,REVALUATION CONTRACT,2000_2100_2110_2101
2000,Contractual Services,2100,Contractual Services,2110,Appraisal,2102,APPRAISAL SERVICES,2000_2100_2110_2102
2000,Contractual Services,2100,Contractual Services,2120,Banking / Investing,2103,BANKING SERVICES,2000_2100_2120_2103
2000,Contractual Services,2100,Contractual Services,2120,Banking / Investing,2208,Banking/Earnings Credits,2000_2100_2120_2208
2000,Contractual Services,2100,Contractual Services,2120,Banking / Investing,2213,Bank Fees - Primary Operating,2000_2100_2120_2213
2000,Contractual Services,2100,Contractual Services,2125,Credit Card,2250,Convenience Fees,2000_2100_2125_2250
2000,Contractual Services,2100,Contractual Services,2125,Credit Card,2252,Collected Convenience Fees,2000_2100_2125_2252
2000,Contractual Services,2100,Contractual Services,2130,Temporary Personnel Services,2104,TEMPORARY AGENCY SERVICES,2000_2100_2130_2104
2000,Contractual Services,2100,Contractual Services,2130,Temporary Personnel Services,2215,Temp Services - Other costs,2000_2100_2130_2215
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2105,IT DATA ENTRY,2000_2100_2140_2105
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2106,IT DATA SERVICES,2000_2100_2140_2106
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2107,IT CONSULTING,2000_2100_2140_2107
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2108,IT PROGRAMMING SERVICES,2000_2100_2140_2108
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2109,IT SOFTWARE SETUP FEES,2000_2100_2140_2109
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2185,Systems Software/Hardware Licensing and Maintenance Fees,2000_2100_2140_2185
2000,Contractual Services,2100,Contractual Services,2140,IT Services Contracts,2186,PC LICENSING/MAINTENANCE FEE,2000_2100_2140_2186
2000,Contractual Services,2100,Contractual Services,2150,Security,2110,SECURITY CONTRACTS,2000_2100_2150_2110
2000,Contractual Services,2100,Contractual Services,2160,Solid Waste Contracts,2111,LANDFILL DISPOSAL FEE,2000_2100_2160_2111
2000,Contractual Services,2100,Contractual Services,2160,Solid Waste Contracts,2112,LANDFILL/TRANSFER STATION OPERATIONS,2000_2100_2160_2112
2000,Contractual Services,2100,Contractual Services,2170,Medical,2114,MEDICAL EXAMINER & AUTOPSY,2000_2100_2170_2114
2000,Contractual Services,2100,Contractual Services,2170,Medical,2115,MEDICAL SERVICES - BLOOD TEST,2000_2100_2170_2115
2000,Contractual Services,2100,Contractual Services,2170,Medical,2116,MEDICAL SERVICES - CLINIC VISITS,2000_2100_2170_2116
2000,Contractual Services,2100,Contractual Services,2170,Medical,2117,MEDICAL SERVICES - DENTISTS,2000_2100_2170_2117
2000,Contractual Services,2100,Contractual Services,2170,Medical,2118,MEDICAL SERVICES - EMPLOYEE MEDICAL EXAM,2000_2100_2170_2118
2000,Contractual Services,2100,Contractual Services,2170,Medical,2119,MEDICAL SERVICES - HOSPITAL CARE,2000_2100_2170_2119
2000,Contractual Services,2100,Contractual Services,2170,Medical,2121,MEDICAL SERVICES - OTHER MEDICAL,2000_2100_2170_2121
2000,Contractual Services,2100,Contractual Services,2170,Medical,2122,MEDICAL SERVICES - PHYSICIANS,2000_2100_2170_2122
2000,Contractual Services,2100,Contractual Services,2170,Medical,2123,PSYCHOLOGICAL SERVICES,2000_2100_2170_2123
2000,Contractual Services,2100,Contractual Services,2170,Medical,2124,WAKE EMS MEDICAL SERVICES,2000_2100_2170_2124
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2125,ASSISTANCE FOR CHILDREN,2000_2100_2180_2125
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2126,ASSISTANCE FOR CHILDREN - REPORTABLE,2000_2100_2180_2126
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2127,ASSISTANCE TO ADULTS,2000_2100_2180_2127
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2128,ASSISTANCE TO ADULTS - REPORTABLE,2000_2100_2180_2128
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2129,CLIENT UTILITIES ASSISTANCE,2000_2100_2180_2129
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2130,FOOD ASSISTANCE,2000_2100_2180_2130
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2131,HOUSING ASSISTANCE,2000_2100_2180_2131
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2132,MEDICAL ASSISTANCE,2000_2100_2180_2132
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2133,Client Assistance,2000_2100_2180_2133
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2134,OTHER CLIENT ASSISTANCE - REPORTABLE,2000_2100_2180_2134
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2188,Reimb For Child Day Care,2000_2100_2180_2188
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2189,Burial Expense,2000_2100_2180_2189
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2195,Emergency Care Services,2000_2100_2180_2195
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2196,Medical Payments,2000_2100_2180_2196
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2197,Medicaid Cost Draft,2000_2100_2180_2197
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2198,Blind Services,2000_2100_2180_2198
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2199,Reimbursement of Medical Payments,2000_2100_2180_2199
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2200,Medicine-Medical Supplies,2000_2100_2180_2200
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2202,Client Rent/Housing Assistance,2000_2100_2180_2202
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2203,Residential Subsidies,2000_2100_2180_2203
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2209,HUD Utility Assistance,2000_2100_2180_2209
2000,Contractual Services,2100,Contractual Services,2180,Client Assistance,2220,Assistance for Children - Clothing,2000_2100_2180_2220
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2135,INDIRECT COST PLAN,2000_2100_2190_2135
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2136,COOPERATIVE EXTENSION SALARY PD TO NCSU,2000_2100_2190_2136
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2138,INMATE PAY-SHERIFF DEPT ONLY,2000_2100_2190_2138
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2139,LEGAL FEES/LITIGATION SERVICES,2000_2100_2190_2139
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2140,OTHER PROFESSIONAL SERVICES,2000_2100_2190_2140
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2143,NONCAP EQUIPMENT PURCHASES FOR F/D,2000_2100_2190_2143
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2144,Purchased Services Contracts,2000_2100_2190_2144
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2146,ENGINEERING SERVICES,2000_2100_2190_2146
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2147,"CONTRACTED SERV- CDBG/HOME, NonReportable",2000_2100_2190_2147
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2148,CONTRACTED SERVICES - CDBG/HOME/CIP,2000_2100_2190_2148
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2149,ELECTRICAL ENGINEERING SERVICES,2000_2100_2190_2149
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2150,FINANCIAL SERVICES,2000_2100_2190_2150
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2151,ACTUARIAL FEES,2000_2100_2190_2151
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2152,MEDICAID PAYMENTS TO PROVIDERS,2000_2100_2190_2152
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2155,RISK CONSULTANT,2000_2100_2190_2155
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2157,ARCHITECTURAL SERVICES,2000_2100_2190_2157
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2159,AUDITING FEES,2000_2100_2190_2159
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2160,BROKERAGE FEES,2000_2100_2190_2160
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2161,CONSULTING FEES,2000_2100_2190_2161
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2167,RESIDENTIAL DDMSS CONTRACTS,2000_2100_2190_2167
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2170,OUTSIDE DDMSS,2000_2100_2190_2170
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2179,Catering Services,2000_2100_2190_2179
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2190,Catering - Program Purchases,2000_2100_2190_2190
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2192,Catering - Food for Employees,2000_2100_2190_2192
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2193,Catering - Other,2000_2100_2190_2193
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2204,Catering - Advisory Boards/BOC,2000_2100_2190_2204
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2206,Election Workers_non 1099 Reportable,2000_2100_2190_2206
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2210,Contracted Services - Emergency Rehab,2000_2100_2190_2210
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2211,Contracted Services - Disability Rehab,2000_2100_2190_2211
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2222,Housing - Y/E Adjustment,2000_2100_2190_2222
2000,Contractual Services,2100,Contractual Services,2190,Purchased Services,2225,WC-7 Body Transport,2000_2100_2190_2225
2000,Contractual Services,2100,Contractual Services,2210,Purchased Services Construction,2201,CONSTRUCTION CONTRACT SERVICES,2000_2100_2210_2201
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2300,Transportation - Vendor Fixed/Admin,2000_2100_2310_2300
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2301,TRANSPORTATION CONTRACT SERVICES,2000_2100_2310_2301
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2308,MV TRANSPORTATION,2000_2100_2310_2308
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2321,Transportation - Millennium,2000_2100_2310_2321
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2322,Transportation - MV,2000_2100_2310_2322
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2330,New Freedom (COR),2000_2100_2310_2330
2000,Contractual Services,2100,Contractual Services,2310,Purchased Services Transportation,2332,WC Transpsortation Agency Services,2000_2100_2310_2332
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2187,ATHENS DRIVE CONTRACT,2000_2100_2410_2187
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2401,UHC/SELF INSURANCE ADMIN FEE,2000_2100_2410_2401
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2403,BOOKS AND PERIODICAL CONTRACTS,2000_2100_2410_2403
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2405,CLAIMS ADMINISTRATION EXPENSE,2000_2100_2410_2405
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2406,CONTRACTED SERVICES,2000_2100_2410_2406
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2408,MUNICIPALITY ADMIN FEES,2000_2100_2410_2408
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2409,PARKING CONTRACTS,2000_2100_2410_2409
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2410,PROCESS SERVING CONTRACT,2000_2100_2410_2410
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2411,PROFESSIONAL MAIL & COURIER SERVICES,2000_2100_2410_2411
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2415,Electronic Resources Network,2000_2100_2410_2415
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2416,SOLINET - LIBRARY,2000_2100_2410_2416
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2417,Health Insurance Admin Fee,2000_2100_2410_2417
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2421,Health Insurance Claims,2000_2100_2410_2421
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2422,Dental Insurance Claims,2000_2100_2410_2422
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2423,Dental Insurance Admin Fee,2000_2100_2410_2423
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2424,Retiree Health Claims,2000_2100_2410_2424
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2427,IBNR_Insurance Claims,2000_2100_2410_2427
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2428,RX/Administration,2000_2100_2410_2428
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2429,RX/Claims,2000_2100_2410_2429
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2430,Stop Loss Premium,2000_2100_2410_2430
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2431,Rx Reimbursements,2000_2100_2410_2431
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2432,Medicare D Subsidy,2000_2100_2410_2432
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2434,FSA Administration,2000_2100_2410_2434
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2435,COBRA Administration,2000_2100_2410_2435
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2439,RX Claims - Retirees,2000_2100_2410_2439
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2440,Contracted Services - Fire Preexisting Debt,2000_2100_2410_2440
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2441,PPACA Fees,2000_2100_2410_2441
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2442,Contracted Services - Other Costs,2000_2100_2410_2442
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2443,Van Pool Subsidies - Employees,2000_2100_2410_2443
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2444,Contracted Services - Rapid Rehousing,2000_2100_2410_2444
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2445,Contracted Services - Housing Prevention,2000_2100_2410_2445
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2446,EAP Admin Fee,2000_2100_2410_2446
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2447,Criminal Justice Partnerships,2000_2100_2410_2447
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2448,Contracted Agency - Overtime,2000_2100_2410_2448
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2449,Contracted Agency - Relocation,2000_2100_2410_2449
2000,Contractual Services,2100,Contractual Services,2410,Other Contracts,2450,HSA Funding - County,2000_2100_2410_2450
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3101,AGRICULTURAL SUPPLIES,3000_3100_3110_3101
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3102,CLIENT/INMATE DRY CLEANING & LAUNDRY,3000_3100_3110_3102
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3104,EQUIPMENT,3000_3100_3110_3104
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3105,MAINTENANCE SUPPLIES,3000_3100_3110_3105
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3106,SIGNS,3000_3100_3110_3106
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3112,Audio Visual Equipment,3000_3100_3110_3112
3000,Other,3100,Supplies / Materials,3110,Maintenance / Construction / Repair,3142,Fire Prevention Supplies,3000_3100_3110_3142
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3108,"COMPUTER EQUIPMENT, NOT IN I/S DBASE",3000_3100_3120_3108
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3109,"COMPUTER EQUIP, INCLUDED IN I/S DBASE",3000_3100_3120_3109
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3110,COMPUTER SUPPLIES,3000_3100_3120_3110
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3114,COMPUTER REPLACEMENT PARTS,3000_3100_3120_3114
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3115,SOFTWARE PURCHASE FEE - HRMS,3000_3100_3120_3115
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3116,SOFTWARE PURCHASE FEE - OTHER,3000_3100_3120_3116
3000,Other,3100,Supplies / Materials,3120,Computer / Software Supplies,3117,SOFTWARE PURCHASE FEE - PC,3000_3100_3120_3117
3000,Other,3100,Supplies / Materials,3130,Education / Safety Supplies,3111,Bullet Proof Vests,3000_3100_3130_3111
3000,Other,3100,Supplies / Materials,3130,Education / Safety Supplies,3118,SAFETY PROGRAM EXPENSES,3000_3100_3130_3118
3000,Other,3100,Supplies / Materials,3130,Education / Safety Supplies,3120,LAW ENFORCEMENT SUPPLIES,3000_3100_3130_3120
3000,Other,3100,Supplies / Materials,3130,Education / Safety Supplies,3121,FIRE FIGHTING EQUIP/TITLED TO DISTRICTS,3000_3100_3130_3121
3000,Other,3100,Supplies / Materials,3130,Education / Safety Supplies,3122,FIREARMS AND AMMUNITION,3000_3100_3130_3122
3000,Other,3100,Supplies / Materials,3130,Education / Safety Supplies,3123,EDUCATIONAL SAFETY SUPPLIES,3000_3100_3130_3123
3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3124,Animal Food Supplies,3000_3100_3140_3124
3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3155,Food - Program Purchases,3000_3100_3140_3155
3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3156,Food - Trust Client Purchases,3000_3100_3140_3156
3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3157,Food - Food for Employees,3000_3100_3140_3157
3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3158,Food - Other,3000_3100_3140_3158
3000,Other,3100,Supplies / Materials,3140,Food and Provisions,3159,Food - Advisory Boards/BOC,3000_3100_3140_3159
3000,Other,3100,Supplies / Materials,3150,Office Supplies,3125,BOOKS AND SUPPLIES,3000_3100_3150_3125
3000,Other,3100,Supplies / Materials,3150,Office Supplies,3126,END OF YEAR INVENTORY ADJ,3000_3100_3150_3126
3000,Other,3100,Supplies / Materials,3150,Office Supplies,3127,OFFICE SUPPLIES,3000_3100_3150_3127
3000,Other,3100,Supplies / Materials,3150,Office Supplies,3129,XEROX/DUPLICATING/PRINTING SUPPLIES,3000_3100_3150_3129
3000,Other,3100,Supplies / Materials,3155,Library Materials,3140,Prior Year Book Encumbrance,3000_3100_3155_3140
3000,Other,3100,Supplies / Materials,3155,Library Materials,3141,Library Books,3000_3100_3155_3141
3000,Other,3100,Supplies / Materials,3155,Library Materials,3143,Library Periodicals,3000_3100_3155_3143
3000,Other,3100,Supplies / Materials,3155,Library Materials,3144,Programming - Library,3000_3100_3155_3144
3000,Other,3100,Supplies / Materials,3160,Other Supplies,3130,PROCUREMENT CARD PURCHASES,3000_3100_3160_3130
3000,Other,3100,Supplies / Materials,3160,Other Supplies,3131,CAREER FAIR,3000_3100_3160_3131
3000,Other,3100,Supplies / Materials,3160,Other Supplies,3132,COMPENSATION SURVEYS,3000_3100_3160_3132
3000,Other,3100,Supplies / Materials,3160,Other Supplies,3133,DONATED SUPPLIES,3000_3100_3160_3133
3000,Other,3100,Supplies / Materials,3160,Other Supplies,3134,OTHER SUPPLIES AND MATERIALS,3000_3100_3160_3134
3000,Other,3100,Supplies / Materials,3160,Other Supplies,3146,Friends/Library Supplies,3000_3100_3160_3146
